stop,name_en,name_tc,name_sc,lat,long
B9560CB9F6044374,KWUN TONG BBI - MILLENNIUM CITY (B7),觀塘轉車站 - 創紀之城 (B7),观塘转车站 - 创纪之城 (B7),22.313895,114.221908
7380707A36C032B9,"TING FU STREET, KWUN TONG",觀塘定富街,观塘定富街,22.316142,114.216218
52AE04E9C3E77BE1,LOWER NGAU TAU KOK ESTATE,牛頭角下邨,牛头角下邨,22.320039,114.214468
C2AA10A9751D3692,TELFORD GARDENS,德福花園,德福花园,22.322128,114.214269
8570495BD7C63C02,KOWLOON BAY  STATION,九龍灣站,九龙湾站,22.324805,114.214033
0A87C29A2B460C96,KAI YIP ESTATE,啟業邨,启业邨,22.330394,114.209803
ED5554C57CF0061C,RICHLAND GARDENS,麗晶花園,丽晶花园,22.332530,114.206872
4D9419874306D82F,RHYTHM GARDEN,采頤花園,采颐花园,22.334909,114.201967
D625B0997C3DBCFE,THE LATITUDE,譽．港灣,誉．港湾,22.332000,114.196917
904DEAF7441E3BB8,KOWLOON CITY BBI - REGAL ORIENTAL HOTEL (B5),九龍城轉車站- 富豪東方酒店(B5),九龙城转车站- 富豪东方酒店(B5),22.327305,114.190821
3161D898CD89AA38,HAU WONG ROAD,侯王道,侯王道,22.327437,114.188845
DCFF4041D0C0ACF8,STAR FERRY,尖沙咀碼頭,尖沙咀码头,22.293816,114.168797
8D804CFD9C7B9042,STAR FERRY,尖沙咀碼頭,尖沙咀码头,22.294321,114.169189
AB0E13408BFA1055,PRINCE EDWARD STATION,太子站,太子站,22.324645,114.169348
2FA93329F924968F,BEVERLY VILLAS,碧華花園,碧华花园,22.327265,114.182745
12B08A64756B780B,HAU WONG ROAD,侯王道,侯王道,22.327760,114.188940
0AB522DFFCD4CD4F,KOWLOON CITY BBI - REGAL ORIENTAL HOTEL (A6),九龍城轉車站- 富豪東方酒店(A6),九龙城转车站- 富豪东方酒店(A6),22.329126,114.192519
7210357910C44570,THE LATITUDE,譽．港灣,誉．港湾,22.333055,114.196691
A1C65E46464147A0,RHYTHM GARDEN,采頤花園,采颐花园,22.335085,114.201694
100E6F60BAC1BDEB,PING SHEK ESTATE,坪石邨,坪石邨,22.333185,114.207227
23AF5995FEBCA8E6,KAI YIP ESTATE,啟業邨,启业邨,22.330675,114.210388
8C09B3648DCDAF3C,KOWLOON BAY STATION (EKCC),九龍灣站(東九文化中心),九龙湾站(东九文化中心),22.325547,114.214339
D530D698BC181839,LOWER NGAU TAU KOK ESTATE,牛頭角下邨,牛头角下邨,22.321874,114.214633
4D3C6D74F6AE8C7D,KWUN TONG ROAD SITTING-OUT AREA,觀塘道休憩處,观塘道休憩处,22.317953,114.215055
9627881F2180C5AB,MILLENNIUM CITY (U4),創紀之城 (U4),创纪之城 (U4),22.314414,114.221390
2437897A21642D85,KWUN TONG BBI - KWUN TONG TOWN CENTRE (T3),觀塘轉車站 - 觀塘市中心 (T3),观塘转车站 - 观塘市中心 (T3),22.313063,114.224870
17A8BC1197F76422,WO LOK ESTATE,和樂邨,和乐邨,22.316165,114.226172
D3FEF85E4DAEEE4E,SAU NGA ROAD PLAYGROUND,秀雅道遊樂場,秀雅道游乐场,22.320222,114.228251
C3201264CC8E5C5D,HIU LAI COURT,曉麗苑,晓丽苑,22.319078,114.229349
C8830886D41FB5FA,HIU KWONG STREET RECREATION GROUND,曉光街遊樂場,晓光街游乐场,22.317021,114.231554
